date,trend_score,sentiment_score,final_score,recommendation
2026-03-04,0.6248501323363023,0.5,0.5624250661681511,HOLD
2026-03-05,0.5637810209448545,0.9381872713565826,0.7509841461507185,BUY
2026-03-06,0.5207355160602999,0.5,0.51036775803015,SELL
2026-03-09,0.5044254567172304,0.5,0.5022127283586152,SELL
2026-03-10,0.5186578165790166,0.5,0.5093289082895083,SELL
2026-03-11,0.5240742079510607,0.3200963497161865,0.4220852788336236,SELL
2026-03-12,0.5208144610556898,0.4907448887825012,0.5057796749190955,SELL
2026-03-13,0.5555459642060957,0.5,0.5277729821030479,SELL
2026-03-16,0.5111251234695668,0.9259424954652786,0.7185338094674227,BUY
2026-03-17,0.5147195497762187,0.9631236493587494,0.738921599567484,BUY
2026-03-18,0.5185084638885358,0.4189446449279785,0.46872655440825717,SELL
2026-03-19,0.5329850724544744,0.5,0.5164925362272372,SELL
2026-03-20,0.5063187445974926,0.5,0.5031593722987463,SELL
2026-03-23,0.5034123965862554,0.5,0.5017061982931277,SELL
2026-03-24,0.502590427326785,0.5,0.5012952136633926,SELL
2026-03-25,0.48278532493294857,0.5,0.4913926624664743,SELL
2026-03-27,0.5472514701273158,0.10688140988349915,0.32706644000540747,SELL
2026-04-02,0.6879892188470319,0.5,0.593994609423516,HOLD
